Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),Anzahl übermittelnder Labore
"Bis einschließlich KW10, 2020",69493,1722,,
11/2020,129291,7502,5.802414707906969,119
12/2020,374534,25886,6.911522051402542,154
13/2020,377599,33139,8.776241462503872,159
14/2020,417646,37649,9.014572149619534,163
15/2020,386241,30829,7.9818041067623575,175
16/2020,339983,22724,6.683863604944953,172
17/2020,363659,18127,4.984614707734444,180
18/2020,327799,12600,3.8438189256221036,178
19/2020,385638,10181,2.6400406598934754,181
20/2020,431682,7142,1.6544586061035669,183
21/2020,356489,5315,1.490929593900513,181
22/2020,408078,4335,1.0622969138252982,175
23/2020,342328,3219,0.9403262368255008,178
24/2020,327980,2956,0.9012744679553631,175
25/2020,384834,5588,1.452054652135726,175
26/2020,472823,3919,0.8288513883630872,182
27/2020,512969,3204,0.6245991473168945,154
28/2020,513572,3042,0.5923220113246049,182
29/2020,544219,3608,0.6629684005887336,182
30/2020,556634,4537,0.8150777710308749,187
31/2020,589201,5888,0.9993194173125979,175
32/2020,719476,7374,1.0249125752631083,174
33/2020,871191,8545,0.9808411703059375,189
34/2020,1034449,8868,0.8572679755116009,197
35/2020,1133623,8273,0.729784064014227,196
36/2020,1052942,8203,0.7790552566048272,195
37/2020,1148465,10403,0.9058177654521471,197
38/2020,1147879,13647,1.1888883758654005,206
39/2020,1220279,15178,1.2438139146867233,200
40/2020,1129127,19930,1.7650804559628812,198
41/2020,1218988,30220,2.4791056187591676,198
42/2020,1284349,46000,3.581581018866367,205
43/2020,1445463,80097,5.541269475593634,209
44/2020,1663992,118111,7.098050952168039,210
45/2020,1634729,128537,7.862893482650642,208
46/2020,1467454,128986,8.789781485484383,206
47/2020,1400145,131185,9.369386742087427,204
48/2020,1381117,128882,9.331722077130323,206
49/2020,1395790,138305,9.9087255246133,208
50/2020,1516038,169520,11.18177776546498,206
51/2020,1672033,188283,11.260722724970142,212
52/2020,1090372,141413,12.969243524228427,208
53/2020,845729,129930,15.363077297810529,205
1/2021,1231405,157772,12.812356617035011,206
2/2021,1187564,124037,10.44465814052969,206
3/2021,1113690,110163,9.891711337984537,208
4/2021,1151633,97383,8.456079323881827,208
5/2021,1101499,82436,7.483983190179927,208
6/2021,1060602,67882,6.400327361253326,213
7/2021,1103231,67379,6.10742446504857,207
8/2021,1171798,72059,6.149438725787209,210
9/2021,1153270,71715,6.218405056925091,211
10/2021,1280050,85655,6.691535486895043,215
11/2021,1367247,107827,7.8864316396379,209
12/2021,1415220,131857,9.317067311089442,206
13/2021,1178378,128814,10.931466812856316,207
14/2021,1169510,140935,12.050773400825987,209
15/2021,1312602,163464,12.45343219041263,210
16/2021,1427509,177250,12.416734325317739,211
17/2021,1360792,152086,11.176285574871105,210
18/2021,1242437,127733,10.28084321378066,207
19/2021,1082880,89408,8.256501182033096,204
Summe,59197639,4068857,,
,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),Anzahl übermittelnder Labore
"Bis einschließlich KW10, 2020",69493,1722,,
11/2020,129291,7502,5.802414707906969,119
12/2020,374534,25886,6.911522051402542,154
13/2020,377599,33139,8.776241462503872,159
14/2020,417646,37649,9.014572149619534,163
15/2020,386241,30829,7.9818041067623575,175
16/2020,339983,22724,6.683863604944953,172
17/2020,363659,18127,4.984614707734444,180
18/2020,327799,12600,3.8438189256221036,178
19/2020,385638,10181,2.6400406598934754,181
20/2020,431682,7142,1.6544586061035669,183
21/2020,356489,5315,1.490929593900513,181
22/2020,408078,4335,1.0622969138252982,175
23/2020,342328,3219,0.9403262368255008,178
24/2020,327980,2956,0.9012744679553631,175
25/2020,384834,5588,1.452054652135726,175
26/2020,472823,3919,0.8288513883630872,182
27/2020,512969,3204,0.6245991473168945,154
28/2020,513572,3042,0.5923220113246049,182
29/2020,544219,3608,0.6629684005887336,182
30/2020,556634,4537,0.8150777710308749,187
31/2020,589201,5888,0.9993194173125979,175
32/2020,719476,7374,1.0249125752631083,174
33/2020,871191,8545,0.9808411703059375,189
34/2020,1034449,8868,0.8572679755116009,197
35/2020,1133623,8273,0.729784064014227,196
36/2020,1052942,8203,0.7790552566048272,195
37/2020,1148465,10403,0.9058177654521471,197
38/2020,1147879,13647,1.1888883758654005,206
39/2020,1220279,15178,1.2438139146867233,200
40/2020,1129127,19930,1.7650804559628812,198
41/2020,1218988,30220,2.4791056187591676,198
42/2020,1284349,46000,3.581581018866367,205
43/2020,1445463,80097,5.541269475593634,209
44/2020,1663992,118111,7.098050952168039,210
45/2020,1634729,128537,7.862893482650642,208
46/2020,1467454,128986,8.789781485484383,206
47/2020,1400145,131185,9.369386742087427,204
48/2020,1381117,128882,9.331722077130323,206
49/2020,1395790,138305,9.9087255246133,208
50/2020,1516038,169520,11.18177776546498,206
51/2020,1672033,188283,11.260722724970142,212
52/2020,1090372,141413,12.969243524228427,208
53/2020,845729,129930,15.363077297810529,205
1/2021,1231405,157772,12.812356617035011,206
2/2021,1187564,124037,10.44465814052969,206
3/2021,1113690,110163,9.891711337984537,208
4/2021,1151633,97383,8.456079323881827,208
5/2021,1101499,82436,7.483983190179927,208
6/2021,1060602,67882,6.400327361253326,213
7/2021,1103231,67379,6.10742446504857,207
8/2021,1171798,72059,6.149438725787209,210
9/2021,1153270,71715,6.218405056925091,211
10/2021,1280050,85655,6.691535486895043,215
11/2021,1367247,107827,7.8864316396379,209
12/2021,1415220,131857,9.317067311089442,206
13/2021,1178378,128814,10.931466812856316,207
14/2021,1169510,140935,12.050773400825987,209
15/2021,1312602,163464,12.45343219041263,210
16/2021,1427509,177250,12.416734325317739,211
17/2021,1360792,152086,11.176285574871105,210
18/2021,1242437,127733,10.28084321378066,207
19/2021,1082880,89408,8.256501182033096,204
Summe,59197639,4068857,,
,,,,
